employee_id,first_name,last_name,dept_id,salary,age,date_of_joining,emp_manager_name,date_of_birth
128,Vhen,Chu,9,90000,29,2023-06-17,Sneha,1994-08-04
129,Barbara,Johnson,10,100000,30,2023-06-17,Himanshu,1993-09-05
130,Dana,deo,1,10000,31,2023-06-17,Aayan,1992-10-06
131,Dory,Luis,2,20000,32,2012-10-05,Arya,1991-11-07
132,Donald,Cheng,3,30000,33,2012-09-05,Biman,1990-01-08
133,Danial,Hu,4,40000,34,2012-08-06,Shreya,1989-01-09
134,Emma,Darlin,5,50000,35,2012-07-07,Mohammad,1988-02-10
135,Ryan,Pete,6,60000,36,2012-06-07,Priyanka,1987-03-11
136,Rony,Chemjhong,7,70000,37,2012-05-08,Manoj,1986-04-12
137,Maya,Rai,8,80000,38,2012-04-08,Bhavesh,1985-05-13
138,Vhen,Chu,9,90000,39,2012-03-09,Sneha,1984-06-14
139,Barbara,Johnson,10,100000,40,2012-02-08,Himanshu,1983-07-15
140,Dana,deo,1,10000,41,2012-01-09,Aayan,1982-08-16
141,Dory,Luis,2,20000,42,2011-12-10,Arya,1981-09-17
142,Donald,Cheng,3,30000,43,2011-11-10,Biman,1980-10-18
143,Danial,Hu,4,40000,44,2011-10-11,Shreya,1979-11-19
144,Emma,Darlin,5,50000,45,2011-09-11,Mohammad,1978-01-20
145,Ryan,Pete,6,60000,46,2011-08-12,Priyanka,1977-01-21
146,Rony,Chemjhong,7,70000,47,2011-07-13,Manoj,1976-02-22
147,Maya,Rai,8,80000,48,2011-06-13,Bhavesh,1975-03-23
148,Vhen,Chu,9,90000,49,2011-05-14,Sneha,1974-04-24
149,Barbara,Johnson,10,100000,50,2011-04-14,Himanshu,1973-05-25
150,Dana,deo,1,10000,51,2011-03-15,Aayan,1972-06-26
151,Dory,Luis,2,20000,52,2011-02-13,Arya,1971-07-27
152,Donald,Cheng,3,30000,53,2011-01-14,Biman,1970-08-28
153,Danial,Hu,4,40000,54,2010-12-15,Shreya,1969-09-29
154,Emma,Darlin,5,50000,55,2010-11-15,Mohammad,1968-10-30
155,Ryan,Pete,6,60000,56,2010-10-16,Priyanka,1967-11-01
156,Rony,Chemjhong,7,70000,57,2010-09-16,Manoj,1966-01-01
157,Maya,Rai,8,80000,58,2010-08-17,Bhavesh,1965-01-02
158,Vhen,Chu,9,90000,59,2010-07-18,Sneha,1964-02-03
159,Barbara,Johnson,10,100000,60,2010-06-18,Himanshu,1963-03-04
160,Dana,deo,1,10000,21,2023-06-17,Aayan,2002-04-05
161,Dory,Luis,2,20000,22,2023-06-17,Arya,2001-05-06
162,Donald,Cheng,3,30000,23,2023-06-17,Biman,2000-06-07
163,Danial,Hu,4,40000,24,2023-06-17,Shreya,1999-07-08
164,Emma,Darlin,5,50000,25,2023-06-17,Mohammad,1998-08-09
165,Ryan,Pete,6,60000,26,2023-06-17,Priyanka,1997-09-10
166,Rony,Chemjhong,7,70000,27,2023-06-17,Manoj,1996-10-11
167,Maya,Rai,8,80000,28,2023-06-17,Bhavesh,1995-11-12
168,Vhen,Chu,9,90000,29,2023-06-17,Sneha,1994-01-13
169,Barbara,Johnson,10,100000,30,2023-06-17,Himanshu,1993-01-14
170,Dana,deo,1,10000,31,2023-06-17,Aayan,1992-02-15
171,Dory,Luis,2,20000,32,2023-06-17,Arya,1991-03-16
172,Donald,Cheng,3,30000,33,2023-06-17,Biman,1990-04-17
173,Danial,Hu,4,40000,34,2023-06-17,Shreya,1989-05-18
174,Emma,Darlin,5,50000,35,2009-03-25,Mohammad,1988-06-19
175,Ryan,Pete,6,60000,36,2009-02-23,Priyanka,1987-07-20
176,Rony,Chemjhong,7,70000,37,2009-01-24,Manoj,1986-08-21
177,Maya,Rai,8,80000,38,2008-12-25,Bhavesh,1985-09-22
178,Vhen,Chu,9,90000,39,2008-11-25,Sneha,1984-10-23
179,Barbara,Johnson,10,100000,40,2008-10-26,Himanshu,1983-11-24
180,Dana,deo,1,10000,41,2008-09-26,Aayan,1982-01-25
181,Dory,Luis,2,20000,42,2008-08-27,Arya,1981-01-26
182,Donald,Cheng,3,30000,43,2008-07-28,Biman,1980-02-27
183,Danial,Hu,4,40000,44,2008-06-28,Shreya,1979-03-28
184,Emma,Darlin,5,50000,45,2008-05-29,Mohammad,1978-04-29
185,Ryan,Pete,6,60000,46,2008-04-29,Priyanka,1977-05-30
186,Rony,Chemjhong,7,70000,47,2008-03-30,Manoj,1976-06-01
187,Maya,Rai,8,80000,48,2008-02-29,Bhavesh,1975-07-01
188,Vhen,Chu,9,90000,49,2008-01-30,Sneha,1974-08-02
189,Barbara,Johnson,10,100000,50,2007-12-31,Himanshu,1973-09-03
190,Dana,deo,1,10000,51,2007-12-01,Aayan,1972-10-04
191,Dory,Luis,2,20000,52,2007-11-01,Arya,1971-11-05
192,Donald,Cheng,3,30000,53,2007-10-02,Biman,1970-01-06
193,Danial,Hu,4,40000,54,2007-09-02,Shreya,1969-01-07
194,Emma,Darlin,5,50000,55,2007-08-03,Mohammad,1968-02-08
195,Ryan,Pete,6,60000,56,2007-07-04,Priyanka,1967-03-09
196,Rony,Chemjhong,7,70000,57,2007-06-04,Manoj,1966-04-10
197,Maya,Rai,8,80000,58,2007-05-05,Bhavesh,1965-05-11
198,Vhen,Chu,9,90000,59,2007-04-05,Sneha,1964-06-12
199,Barbara,Johnson,10,100000,60,2007-03-06,Himanshu,1963-07-13
200,Dana,deo,1,10000,21,2023-06-17,Aayan,2002-08-14
201,Dory,Luis,2,20000,22,2023-06-17,Arya,2001-09-15
202,Donald,Cheng,3,30000,23,2023-06-17,Biman,2000-10-16
203,Danial,Hu,4,40000,24,2023-06-17,Shreya,1999-11-17
204,Emma,Darlin,5,50000,25,2023-06-17,Mohammad,1998-01-18
205,Ryan,Pete,6,60000,26,2023-06-17,Priyanka,1997-01-19
206,Rony,Chemjhong,7,70000,27,2023-06-17,Manoj,1996-02-20
207,Maya,Rai,8,80000,28,2023-06-17,Bhavesh,1995-03-21
208,Vhen,Chu,9,90000,29,2023-06-17,Sneha,1994-04-22
209,Barbara,Johnson,10,100000,30,2023-06-17,Himanshu,1993-05-23
210,Dana,deo,1,10000,31,2023-06-17,Aayan,1992-06-24
211,Dory,Luis,2,20000,32,2023-06-17,Arya,1991-07-25
212,Donald,Cheng,3,30000,33,2023-06-17,Biman,1990-08-26
213,Danial,Hu,4,40000,34,2023-06-17,Shreya,1989-09-27
214,Emma,Darlin,5,50000,35,2023-06-17,Mohammad,1988-10-28
215,Ryan,Pete,6,60000,36,2023-06-17,Priyanka,1987-11-29
216,Rony,Chemjhong,7,70000,37,2023-06-17,Manoj,1986-01-30
217,Maya,Rai,8,80000,38,2023-06-17,Bhavesh,1985-01-01
218,Vhen,Chu,9,90000,39,2005-08-13,Sneha,1984-02-01
219,Barbara,Johnson,10,100000,40,2005-07-14,Himanshu,1983-03-02
220,Dana,deo,1,10000,41,2005-06-14,Aayan,1982-04-03
221,Dory,Luis,2,20000,42,2005-05-15,Arya,1981-05-04
222,Donald,Cheng,3,30000,43,2005-04-15,Biman,1980-06-05
223,Danial,Hu,4,40000,44,2005-03-16,Shreya,1979-07-06
224,Emma,Darlin,5,50000,45,2005-02-14,Mohammad,1978-08-07
225,Ryan,Pete,6,60000,46,2005-01-15,Priyanka,1977-09-08
226,Rony,Chemjhong,7,70000,47,2004-12-16,Manoj,1976-10-09
227,Maya,Rai,8,80000,48,2004-11-16,Bhavesh,1975-11-10
228,Vhen,Chu,9,90000,49,2004-10-17,Sneha,1974-01-11
229,Barbara,Johnson,10,100000,50,2004-09-17,Himanshu,1973-01-12
230,Dana,deo,1,10000,51,2004-08-18,Aayan,1972-02-13
231,Dory,Luis,2,20000,52,2004-07-19,Arya,1971-03-14
232,Donald,Cheng,3,30000,53,2004-06-19,Biman,1970-04-15
233,Danial,Hu,4,40000,54,2004-05-20,Shreya,1969-05-16
234,Emma,Darlin,5,50000,55,2004-04-20,Mohammad,1968-06-17
235,Ryan,Pete,6,60000,56,2004-03-21,Priyanka,1967-07-18
236,Rony,Chemjhong,7,70000,57,2004-02-20,Manoj,1966-08-19
237,Maya,Rai,8,80000,58,2004-01-21,Bhavesh,1965-09-20
238,Vhen,Chu,9,90000,59,2003-12-22,Sneha,1964-10-21
239,Barbara,Johnson,10,100000,60,2003-11-22,Himanshu,1963-11-22
240,Dana,deo,1,10000,21,2023-06-17,Aayan,2002-01-23
241,Dory,Luis,2,20000,22,2023-06-17,Arya,2001-01-24
242,Donald,Cheng,3,30000,23,2023-06-17,Biman,2000-02-25
243,Danial,Hu,4,40000,24,2023-06-17,Shreya,1999-03-26
244,Emma,Darlin,5,50000,25,2023-06-17,Mohammad,1998-04-27
245,Ryan,Pete,6,60000,26,2023-06-17,Priyanka,1997-05-28
246,Rony,Chemjhong,7,70000,27,2023-06-17,Manoj,1996-06-29
247,Maya,Rai,8,80000,28,2023-06-17,Bhavesh,1995-07-30
248,Vhen,Chu,9,90000,29,2023-06-17,Sneha,1994-08-01
249,Barbara,Johnson,10,100000,30,2023-06-17,Himanshu,1993-09-01
250,Dana,deo,1,10000,31,2023-06-17,Aayan,1992-10-02
251,Dory,Luis,2,20000,32,2023-06-17,Arya,1991-11-03
252,Donald,Cheng,3,30000,33,2023-06-17,Biman,1990-01-04
253,Danial,Hu,4,40000,34,2023-06-17,Shreya,1989-01-05
254,Emma,Darlin,5,50000,35,2023-06-17,Mohammad,1988-02-06
255,Ryan,Pete,6,60000,36,2023-06-17,Priyanka,1987-03-07
256,Rony,Chemjhong,7,70000,37,2023-06-17,Manoj,1986-04-08
257,Maya,Rai,8,80000,38,2023-06-17,Bhavesh,1985-05-09
258,Vhen,Chu,9,90000,39,2023-06-17,Sneha,1984-06-10
259,Barbara,Johnson,10,100000,40,2023-06-17,Himanshu,1983-07-11
260,Dana,deo,1,10000,41,2023-06-17,Aayan,1982-08-12
261,Dory,Luis,2,20000,42,2002-01-31,Arya,1981-09-13
262,Donald,Cheng,3,30000,43,2002-01-01,Biman,1980-10-14
263,Danial,Hu,4,40000,44,2001-12-02,Shreya,1979-11-15
264,Emma,Darlin,5,50000,45,2001-11-02,Mohammad,1978-01-16
265,Ryan,Pete,6,60000,46,2001-10-03,Priyanka,1977-01-17
266,Rony,Chemjhong,7,70000,47,2001-09-03,Manoj,1976-02-18
267,Maya,Rai,8,80000,48,2001-08-04,Bhavesh,1975-03-19
268,Vhen,Chu,9,90000,49,2001-07-05,Sneha,1974-04-20
269,Barbara,Johnson,10,100000,50,2001-06-05,Himanshu,1973-05-21
270,Dana,deo,1,10000,51,2001-05-06,Aayan,1972-06-22
271,Dory,Luis,2,20000,52,2001-04-06,Arya,1971-07-23
272,Donald,Cheng,3,30000,53,2001-03-07,Biman,1970-08-24
273,Danial,Hu,4,40000,54,2001-02-05,Shreya,1969-09-25
274,Emma,Darlin,5,50000,55,2001-01-06,Mohammad,1968-10-26
275,Ryan,Pete,6,60000,56,2000-12-07,Priyanka,1967-11-27
276,Rony,Chemjhong,7,70000,57,2000-11-07,Manoj,1966-01-28
277,Maya,Rai,8,80000,58,2000-10-08,Bhavesh,1965-01-29
278,Vhen,Chu,9,90000,59,2000-09-08,Sneha,1964-02-28
279,Barbara,Johnson,10,100000,60,2000-08-09,Himanshu,1963-03-01
280,Dana,deo,1,10000,21,2023-06-17,Aayan,2002-04-01
281,Dory,Luis,2,20000,22,2023-06-17,Arya,2001-05-02
282,Donald,Cheng,3,30000,23,2023-06-17,Biman,2000-06-03
283,Danial,Hu,4,40000,24,2023-06-17,Shreya,1999-07-04
284,Emma,Darlin,5,50000,25,2023-06-17,Mohammad,1998-08-05
285,Ryan,Pete,6,60000,26,2023-06-17,Priyanka,1997-09-06
286,Rony,Chemjhong,7,70000,27,2023-06-17,Manoj,1996-10-07
287,Maya,Rai,8,80000,28,2023-06-17,Bhavesh,1995-11-08
288,Vhen,Chu,9,90000,29,2023-06-17,Sneha,1994-01-09
289,Barbara,Johnson,10,100000,30,2023-06-17,Himanshu,1993-01-10
290,Dana,deo,1,10000,31,2023-06-17,Aayan,1992-02-11
291,Dory,Luis,2,20000,32,2023-06-17,Arya,1991-03-12
292,Donald,Cheng,3,30000,33,2023-06-17,Biman,1990-04-13
293,Danial,Hu,4,40000,34,2023-06-17,Shreya,1989-05-14
294,Emma,Darlin,5,50000,35,2023-06-17,Mohammad,1988-06-15
295,Ryan,Pete,6,60000,36,2023-06-17,Priyanka,1987-07-16
296,Rony,Chemjhong,7,70000,37,2023-06-17,Manoj,1986-08-17
297,Maya,Rai,8,80000,38,2023-06-17,Bhavesh,1985-09-18
298,Vhen,Chu,9,90000,39,2023-06-17,Sneha,1984-10-19
299,Barbara,Johnson,10,100000,40,2023-06-17,Himanshu,1983-11-20
300,Dana,deo,1,10000,41,2023-06-17,Aayan,1982-01-21
301,Dory,Luis,2,20000,42,2023-06-17,Arya,1981-01-22
302,Donald,Cheng,3,30000,43,2023-06-17,Biman,1980-02-23
303,Danial,Hu,4,40000,44,2023-06-17,Shreya,1979-03-24
304,Emma,Darlin,5,50000,45,2023-06-17,Mohammad,1978-04-25
305,Ryan,Pete,6,60000,46,1998-06-21,Priyanka,1977-05-26
306,Rony,Chemjhong,7,70000,47,1998-05-22,Manoj,1976-06-27
307,Maya,Rai,8,80000,48,1998-04-22,Bhavesh,1975-07-28
308,Vhen,Chu,9,90000,49,1998-03-23,Sneha,1974-08-29
309,Barbara,Johnson,10,100000,50,1998-02-21,Himanshu,1973-09-30
310,Dana,deo,1,10000,51,1998-01-22,Aayan,1972-10-01
311,Dory,Luis,2,20000,52,1997-12-23,Arya,1971-11-01
312,Donald,Cheng,3,30000,53,1997-11-23,Biman,1970-01-02
313,Danial,Hu,4,40000,54,1997-10-24,Shreya,1969-01-03
314,Emma,Darlin,5,50000,55,1997-09-24,Mohammad,1968-02-04
315,Ryan,Pete,6,60000,56,1997-08-25,Priyanka,1967-03-05
316,Rony,Chemjhong,7,70000,57,1997-07-26,Manoj,1966-04-06
317,Maya,Rai,8,80000,58,1997-06-26,Bhavesh,1965-05-07
318,Vhen,Chu,9,90000,59,1997-05-27,Sneha,1964-06-08
319,Barbara,Johnson,10,100000,60,1997-04-27,Himanshu,1963-07-09
320,Dana,deo,1,10000,21,2023-06-17,Aayan,2002-08-10
321,Dory,Luis,2,20000,22,2023-06-17,Arya,2001-09-11
322,Donald,Cheng,3,30000,23,2023-06-17,Biman,2000-10-12
323,Danial,Hu,4,40000,24,2023-06-17,Shreya,1999-11-13
324,Emma,Darlin,5,50000,25,2023-06-17,Mohammad,1998-01-14
325,Ryan,Pete,6,60000,26,2023-06-17,Priyanka,1997-01-15
326,Rony,Chemjhong,7,70000,27,2023-06-17,Manoj,1996-02-16
327,Maya,Rai,8,80000,28,2023-06-17,Bhavesh,1995-03-17
328,Vhen,Chu,9,90000,29,2023-06-17,Sneha,1994-04-18
329,Barbara,Johnson,10,100000,30,2023-06-17,Himanshu,1993-05-19
330,Dana,deo,1,10000,31,2023-06-17,Aayan,1992-06-20
331,Dory,Luis,2,20000,32,2023-06-17,Arya,1991-07-21
332,Donald,Cheng,3,30000,33,2023-06-17,Biman,1990-08-22
333,Danial,Hu,4,40000,34,2023-06-17,Shreya,1989-09-23
334,Emma,Darlin,5,50000,35,2023-06-17,Mohammad,1988-10-24
335,Ryan,Pete,6,60000,36,2023-06-17,Priyanka,1987-11-25
336,Rony,Chemjhong,7,70000,37,2023-06-17,Manoj,1986-01-26
337,Maya,Rai,8,80000,38,2023-06-17,Bhavesh,1985-01-27
338,Vhen,Chu,9,90000,39,2023-06-17,Sneha,1984-02-28
339,Barbara,Johnson,10,100000,40,2023-06-17,Himanshu,1983-03-29
340,Dana,deo,1,10000,41,2023-06-17,Aayan,1982-04-30
341,Dory,Luis,2,20000,42,2023-06-17,Arya,1981-05-01
342,Donald,Cheng,3,30000,43,2023-06-17,Biman,1980-06-01
343,Danial,Hu,4,40000,44,2023-06-17,Shreya,1979-07-02
344,Emma,Darlin,5,50000,45,2023-06-17,Mohammad,1978-08-03
345,Ryan,Pete,6,60000,46,2023-06-17,Priyanka,1977-09-04
346,Rony,Chemjhong,7,70000,47,2023-06-17,Manoj,1976-10-05
347,Maya,Rai,8,80000,48,2023-06-17,Bhavesh,1975-11-06
348,Vhen,Chu,9,90000,49,2023-06-17,Sneha,1974-01-07
349,Barbara,Johnson,10,100000,50,2023-05-18,Himanshu,1973-01-08
350,Dana,deo,1,10000,51,2023-04-18,Aayan,1972-02-09
351,Dory,Luis,2,20000,52,2023-03-19,Arya,1971-03-10
352,Donald,Cheng,3,30000,53,2023-02-17,Biman,1970-04-11
353,Danial,Hu,4,40000,54,2023-01-18,Shreya,1969-05-12
354,Emma,Darlin,5,50000,55,2022-12-19,Mohammad,1968-06-13
355,Ryan,Pete,6,60000,56,2022-11-19,Priyanka,1967-07-14
356,Rony,Chemjhong,7,70000,57,2022-10-20,Manoj,1966-08-15
357,Maya,Rai,8,80000,58,2022-09-20,Bhavesh,1965-09-16
358,Vhen,Chu,9,90000,59,2022-08-21,Sneha,1964-10-17
359,Barbara,Johnson,10,100000,60,2022-07-22,Himanshu,1963-11-18
360,Dana,deo,1,10000,21,2023-06-24,Aayan,2002-01-19
361,Dory,Luis,2,20000,22,2022-05-23,Arya,2001-01-20
362,Donald,Cheng,3,30000,23,2022-04-23,Biman,2000-02-21
363,Danial,Hu,4,40000,24,2022-03-24,Shreya,1999-03-22
364,Emma,Darlin,5,50000,25,2022-02-22,Mohammad,1998-04-23
365,Ryan,Pete,6,60000,26,2022-01-23,Priyanka,1997-05-24
366,Rony,Chemjhong,7,70000,27,2021-12-24,Manoj,1996-06-25
367,Maya,Rai,8,80000,28,2021-11-24,Bhavesh,1995-07-26
368,Vhen,Chu,9,90000,29,2021-10-25,Sneha,1994-08-27
369,Barbara,Johnson,10,100000,30,2021-09-25,Himanshu,1993-09-28
370,Dana,deo,1,10000,31,2021-08-26,Aayan,1992-10-29
371,Dory,Luis,2,20000,32,2021-07-27,Arya,1991-11-30
372,Donald,Cheng,3,30000,33,2021-06-27,Biman,1990-01-01
373,Danial,Hu,4,40000,34,2021-05-28,Shreya,1989-01-01
374,Emma,Darlin,5,50000,35,2021-04-28,Mohammad,1988-02-02
